Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,43,204,1,204,1,1,2021-01-02,204,SFOG10,UA,926,SFO,FRA,2023-04-09,19:10,G10,SFOG10,2021-01-02,1,161,0.78921569,1.0,1.0,0.78921569,1.0,1.0
Unsuccessful,,Unsuccessful,1,203,203,1,203,1,1,2021-01-02,203,SFOG4,UA,930,SFO,LHR,2023-04-09,19:50,G4,SFOG4,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,19,134,1,134,1,1,2021-01-02,134,SFOG12,UA,460,SFO,YVR,2023-04-18,18:27,G12,SFOG12,2021-01-02,1,115,0.85820896,1.0,1.0,0.85820896,1.0,1.0
Successful,Successful,,0,16,247,1,247,1,1,2021-01-02,247,SFOG4,UA,35,SFO,KIX,2023-04-13,10:45,G4,SFOG4,2021-01-02,1,231,0.93522267,1.0,1.0,0.93522267,1.0,1.0
Successful,Successful,,0,10,223,1,223,1,1,2021-01-02,223,SFOG7,UA,29,SFO,SIN,2023-04-21,10:50,G7,SFOG7,2021-01-02,1,213,0.95515695,1.0,1.0,0.95515695,1.0,1.0
Unsuccessful,,Unsuccessful,1,185,185,1,185,1,1,2021-01-02,185,SFOG4,UA,917,SFO,AKL,2023-04-15,23:00,G4,SFOG4,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,41,238,1,238,1,1,2021-01-02,238,SFOG1,UA,901,SFO,LHR,2023-04-12,12:20,G1,SFOG1,2021-01-02,1,197,0.82773109,1.0,1.0,0.82773109,1.0,1.0
Successful,Successful,,0,15,200,1,200,1,1,2021-01-02,200,SFOG2,UA,901,SFO,LHR,2023-04-19,12:20,G2,SFOG2,2021-01-02,1,185,0.925,1.0,1.0,0.925,1.0,1.0
Successful,Successful,,0,43,274,1,274,1,1,2021-01-02,274,SFOG1,UA,926,SFO,FRA,2023-04-22,19:10,G1,SFOG1,2021-01-02,1,231,0.84306569,1.0,1.0,0.84306569,1.0,1.0
Successful,Successful,,0,28,245,1,245,1,1,2021-01-02,245,SFOG12,UA,194,SFO,MUC,2023-04-27,13:25,G12,SFOG12,2021-01-02,1,217,0.88571429,1.0,1.0,0.88571429,1.0,1.0
Successful,Successful,,0,20,332,1,332,1,1,2021-01-02,332,SFOG12,UA,871,SFO,TPE,2023-04-05,14:00,G12,SFOG12,2021-01-02,1,312,0.93975904,1.0,1.0,0.93975904,1.0,1.0
Unsuccessful,,Unsuccessful,1,179,179,1,179,1,1,2021-01-02,179,SFOG1,UA,1145,SFO,CUN,2023-04-26,23:16,G1,SFOG1,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,7,154,1,154,1,1,2021-01-02,154,SFOG1,UA,29,SFO,SIN,2023-04-09,10:50,G1,SFOG1,2021-01-02,1,147,0.95454545,1.0,1.0,0.95454545,1.0,1.0
Unsuccessful,,Unsuccessful,1,137,137,1,137,1,1,2021-01-02,137,SFOG5,UA,96,SFO,BNE,2023-04-02,23:55,G5,SFOG5,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,30,194,1,194,1,1,2021-01-02,194,SFOG1,UA,875,SFO,HND,2023-04-28,10:45,G1,SFOG1,2021-01-02,1,164,0.84536082,1.0,1.0,0.84536082,1.0,1.0
Successful,Successful,,0,36,337,1,337,1,1,2021-01-02,337,SFOG12,UA,871,SFO,TPE,2023-04-26,14:00,G12,SFOG12,2021-01-02,1,301,0.89317507,1.0,1.0,0.89317507,1.0,1.0
Successful,Successful,,0,33,255,1,255,1,1,2021-01-02,255,SFOG5,UA,901,SFO,LHR,2023-04-13,12:20,G5,SFOG5,2021-01-02,1,222,0.87058824,1.0,1.0,0.87058824,1.0,1.0
